"Balancing Authority","Local Time at End of Hour","UTC Time at End of Hour","Demand Forecast (MW)","Demand (MW)","Net Generation (MW)","Total Interchange (MW)","Sum(Valid DIBAs) (MW)","Demand (MW) (Imputed)","Net Generation (MW) (Imputed)","Total Interchange (MW) (Imputed)","Demand (MW) (Adjusted)","Net Generation (MW) (Adjusted)","Total Interchange (MW) (Adjusted)","Region"
ERCO,05/26/2025 12:00:00 AM,05/26/2025 5:00:00 AM,60899,62105,62069,-35,-36,,,,62105,62069,-35,TEX
ERCO,05/26/2025 1:00:00 AM,05/26/2025 6:00:00 AM,56548,58984,58967,-17,-17,,,,58984,58967,-17,TEX
ERCO,05/26/2025 2:00:00 AM,05/26/2025 7:00:00 AM,54395,56476,56360,-115,-116,,,,56476,56360,-115,TEX
ERCO,05/26/2025 3:00:00 AM,05/26/2025 8:00:00 AM,52536,53806,53733,-72,-72,,,,53806,53733,-72,TEX
ERCO,05/26/2025 4:00:00 AM,05/26/2025 9:00:00 AM,51504,51858,51827,-31,-31,,,,51858,51827,-31,TEX
ERCO,05/26/2025 5:00:00 AM,05/26/2025 10:00:00 AM,51193,51017,50915,-102,-103,,,,51017,50915,-102,TEX
ERCO,05/26/2025 6:00:00 AM,05/26/2025 11:00:00 AM,51140,50954,51008,54,54,,,,50954,51008,54,TEX
ERCO,05/26/2025 7:00:00 AM,05/26/2025 12:00:00 PM,50767,50526,50564,39,39,,,,50526,50564,39,TEX
ERCO,05/26/2025 8:00:00 AM,05/26/2025 1:00:00 PM,51293,50303,50435,132,132,,,,50303,50435,132,TEX
ERCO,05/26/2025 9:00:00 AM,05/26/2025 2:00:00 PM,53752,52207,52499,291,292,,,,52207,52499,291,TEX
ERCO,05/26/2025 10:00:00 AM,05/26/2025 3:00:00 PM,57744,54454,54731,276,275,,,,54454,54731,276,TEX
ERCO,05/26/2025 11:00:00 AM,05/26/2025 4:00:00 PM,60845,56323,56405,81,82,,,,56323,56405,81,TEX
ERCO,05/26/2025 12:00:00 PM,05/26/2025 5:00:00 PM,63829,57790,57856,66,66,,,,57790,57856,66,TEX
ERCO,05/26/2025 1:00:00 PM,05/26/2025 6:00:00 PM,66280,58276,58392,116,116,,,,58276,58392,116,TEX
ERCO,05/26/2025 2:00:00 PM,05/26/2025 7:00:00 PM,68829,58261,58519,257,258,,,,58261,58519,257,TEX
ERCO,05/26/2025 3:00:00 PM,05/26/2025 8:00:00 PM,70442,59131,59389,257,257,,,,59131,59389,257,TEX
ERCO,05/26/2025 4:00:00 PM,05/26/2025 9:00:00 PM,71364,59757,59965,208,207,,,,59757,59965,208,TEX
ERCO,05/26/2025 5:00:00 PM,05/26/2025 10:00:00 PM,70826,60618,60819,200,200,,,,60618,60819,200,TEX
ERCO,05/26/2025 6:00:00 PM,05/26/2025 11:00:00 PM,69340,61599,61881,281,282,,,,61599,61881,281,TEX
ERCO,05/26/2025 7:00:00 PM,05/27/2025 12:00:00 AM,67129,61320,61313,-7,-7,,,,61320,61313,-7,TEX
ERCO,05/26/2025 8:00:00 PM,05/27/2025 1:00:00 AM,64913,59979,60086,107,107,,,,59979,60086,107,TEX
ERCO,05/26/2025 9:00:00 PM,05/27/2025 2:00:00 AM,63534,59148,59070,-78,-77,,,,59148,59070,-78,TEX
ERCO,05/26/2025 10:00:00 PM,05/27/2025 3:00:00 AM,62189,56600,56665,64,64,,,,56600,56665,64,TEX
ERCO,05/26/2025 11:00:00 PM,05/27/2025 4:00:00 AM,59351,54147,54181,34,34,,,,54147,54181,34,TEX
ERCO,05/27/2025 12:00:00 AM,05/27/2025 5:00:00 AM,55985,51330,51340,11,10,,,,51330,51340,11,TEX
ERCO,05/27/2025 1:00:00 AM,05/27/2025 6:00:00 AM,48635,48345,48402,57,57,,,,48345,48402,57,TEX
ERCO,05/27/2025 2:00:00 AM,05/27/2025 7:00:00 AM,46028,45825,45863,39,38,,,,45825,45863,39,TEX
ERCO,05/27/2025 3:00:00 AM,05/27/2025 8:00:00 AM,44162,44295,44221,-74,-74,,,,44295,44221,-74,TEX
ERCO,05/27/2025 4:00:00 AM,05/27/2025 9:00:00 AM,43365,43545,43471,-74,-74,,,,43545,43471,-74,TEX
ERCO,05/27/2025 5:00:00 AM,05/27/2025 10:00:00 AM,43353,43668,43594,-74,-74,,,,43668,43594,-74,TEX
ERCO,05/27/2025 6:00:00 AM,05/27/2025 11:00:00 AM,44348,44958,44879,-79,-79,,,,44958,44879,-79,TEX
ERCO,05/27/2025 7:00:00 AM,05/27/2025 12:00:00 PM,45751,46336,46218,-117,-118,,,,46336,46218,-117,TEX
ERCO,05/27/2025 8:00:00 AM,05/27/2025 1:00:00 PM,47035,47604,47592,-12,-12,,,,47604,47592,-12,TEX
ERCO,05/27/2025 9:00:00 AM,05/27/2025 2:00:00 PM,49495,49571,49635,64,64,,,,49571,49635,64,TEX
ERCO,05/27/2025 10:00:00 AM,05/27/2025 3:00:00 PM,52230,51677,51745,69,68,,,,51677,51745,69,TEX
ERCO,05/27/2025 11:00:00 AM,05/27/2025 4:00:00 PM,55090,54282,54326,44,44,,,,54282,54326,44,TEX
ERCO,05/27/2025 12:00:00 PM,05/27/2025 5:00:00 PM,57974,57207,57250,44,43,,,,57207,57250,44,TEX
ERCO,05/27/2025 1:00:00 PM,05/27/2025 6:00:00 PM,60711,60334,60378,44,43,,,,60334,60378,44,TEX
ERCO,05/27/2025 2:00:00 PM,05/27/2025 7:00:00 PM,63049,63466,63510,44,44,,,,63466,63510,44,TEX
ERCO,05/27/2025 3:00:00 PM,05/27/2025 8:00:00 PM,64923,66262,66288,27,27,,,,66262,66288,27,TEX
ERCO,05/27/2025 4:00:00 PM,05/27/2025 9:00:00 PM,66021,68620,68588,-30,-31,,,,68620,68588,-30,TEX
ERCO,05/27/2025 5:00:00 PM,05/27/2025 10:00:00 PM,66306,69943,69819,-123,-124,,,,69943,69819,-123,TEX
ERCO,05/27/2025 6:00:00 PM,05/27/2025 11:00:00 PM,65700,70000,69921,-78,-78,,,,70000,69921,-78,TEX
ERCO,05/27/2025 7:00:00 PM,05/28/2025 12:00:00 AM,64714,68580,68403,-176,-176,,,,68580,68403,-176,TEX
ERCO,05/27/2025 8:00:00 PM,05/28/2025 1:00:00 AM,62746,65506,65317,-188,-189,,,,65506,65317,-188,TEX
ERCO,05/27/2025 9:00:00 PM,05/28/2025 2:00:00 AM,61021,62576,62482,-95,-95,,,,62576,62482,-95,TEX
ERCO,05/27/2025 10:00:00 PM,05/28/2025 3:00:00 AM,59656,60322,60327,5,4,,,,60322,60327,5,TEX
ERCO,05/27/2025 11:00:00 PM,05/28/2025 4:00:00 AM,56605,58389,58393,4,4,,,,58389,58393,4,TEX
ERCO,05/28/2025 12:00:00 AM,05/28/2025 5:00:00 AM,53079,55000,54926,-74,-75,,,,55000,54926,-74,TEX
ERCO,05/28/2025 1:00:00 AM,05/28/2025 6:00:00 AM,51244,51820,51789,-30,-30,,,,51820,51789,-30,TEX
ERCO,05/28/2025 2:00:00 AM,05/28/2025 7:00:00 AM,48685,49566,49507,-59,-60,,,,49566,49507,-59,TEX
ERCO,05/28/2025 3:00:00 AM,05/28/2025 8:00:00 AM,47056,47837,47765,-71,-72,,,,47837,47765,-71,TEX
ERCO,05/28/2025 4:00:00 AM,05/28/2025 9:00:00 AM,45926,46957,46763,-194,-195,,,,46957,46763,-194,TEX
ERCO,05/28/2025 5:00:00 AM,05/28/2025 10:00:00 AM,45634,46875,46678,-197,-196,,,,46875,46678,-197,TEX
ERCO,05/28/2025 6:00:00 AM,05/28/2025 11:00:00 AM,46510,47715,47496,-219,-219,,,,47715,47496,-219,TEX
ERCO,05/28/2025 7:00:00 AM,05/28/2025 12:00:00 PM,48333,49139,48963,-176,-177,,,,49139,48963,-176,TEX
ERCO,05/28/2025 8:00:00 AM,05/28/2025 1:00:00 PM,49689,49989,49934,-54,-54,,,,49989,49934,-54,TEX
ERCO,05/28/2025 9:00:00 AM,05/28/2025 2:00:00 PM,51832,50830,50894,64,64,,,,50830,50894,64,TEX
ERCO,05/28/2025 10:00:00 AM,05/28/2025 3:00:00 PM,54187,51985,52145,160,160,,,,51985,52145,160,TEX
ERCO,05/28/2025 11:00:00 AM,05/28/2025 4:00:00 PM,56187,52864,53005,141,141,,,,52864,53005,141,TEX
ERCO,05/28/2025 12:00:00 PM,05/28/2025 5:00:00 PM,57940,54759,54804,45,45,,,,54759,54804,45,TEX
ERCO,05/28/2025 1:00:00 PM,05/28/2025 6:00:00 PM,59654,55705,55796,90,90,,,,55705,55796,90,TEX
ERCO,05/28/2025 2:00:00 PM,05/28/2025 7:00:00 PM,61291,57213,57354,141,141,,,,57213,57354,141,TEX
ERCO,05/28/2025 3:00:00 PM,05/28/2025 8:00:00 PM,62485,59198,59243,46,46,,,,59198,59243,46,TEX
ERCO,05/28/2025 4:00:00 PM,05/28/2025 9:00:00 PM,63009,61414,61463,49,49,,,,61414,61463,49,TEX
ERCO,05/28/2025 5:00:00 PM,05/28/2025 10:00:00 PM,63070,63202,63250,49,48,,,,63202,63250,49,TEX
ERCO,05/28/2025 6:00:00 PM,05/28/2025 11:00:00 PM,62878,64061,64107,46,46,,,,64061,64107,46,TEX
ERCO,05/28/2025 7:00:00 PM,05/29/2025 12:00:00 AM,62126,63411,63316,-95,-95,,,,63411,63316,-95,TEX
ERCO,05/28/2025 8:00:00 PM,05/29/2025 1:00:00 AM,60773,61589,61396,-193,-193,,,,61589,61396,-193,TEX
ERCO,05/28/2025 9:00:00 PM,05/29/2025 2:00:00 AM,59217,59508,59441,-67,-67,,,,59508,59441,-67,TEX
ERCO,05/28/2025 10:00:00 PM,05/29/2025 3:00:00 AM,57956,58220,58159,-61,-62,,,,58220,58159,-61,TEX
ERCO,05/28/2025 11:00:00 PM,05/29/2025 4:00:00 AM,55238,55335,55319,-15,-16,,,,55335,55319,-15,TEX
ERCO,05/29/2025 12:00:00 AM,05/29/2025 5:00:00 AM,52130,51903,51949,46,47,,,,51903,51949,46,TEX
ERCO,05/29/2025 1:00:00 AM,05/29/2025 6:00:00 AM,49841,49002,49191,190,190,,,,49002,49191,190,TEX
ERCO,05/29/2025 2:00:00 AM,05/29/2025 7:00:00 AM,47535,46881,46987,107,108,,,,46881,46987,107,TEX
ERCO,05/29/2025 3:00:00 AM,05/29/2025 8:00:00 AM,45963,45513,45633,121,121,,,,45513,45633,121,TEX
ERCO,05/29/2025 4:00:00 AM,05/29/2025 9:00:00 AM,44920,44720,44764,45,45,,,,44720,44764,45,TEX
ERCO,05/29/2025 5:00:00 AM,05/29/2025 10:00:00 AM,44576,44754,44889,134,133,,,,44754,44889,134,TEX
ERCO,05/29/2025 6:00:00 AM,05/29/2025 11:00:00 AM,45447,45882,46049,167,166,,,,45882,46049,167,TEX
ERCO,05/29/2025 7:00:00 AM,05/29/2025 12:00:00 PM,47169,47739,47838,99,99,,,,47739,47838,99,TEX
ERCO,05/29/2025 8:00:00 AM,05/29/2025 1:00:00 PM,48768,49117,49089,-27,-27,,,,49117,49089,-27,TEX
ERCO,05/29/2025 9:00:00 AM,05/29/2025 2:00:00 PM,51722,51021,51103,82,82,,,,51021,51103,82,TEX
ERCO,05/29/2025 10:00:00 AM,05/29/2025 3:00:00 PM,55079,53464,53504,41,40,,,,53464,53504,41,TEX
ERCO,05/29/2025 11:00:00 AM,05/29/2025 4:00:00 PM,58281,56164,56209,45,44,,,,56164,56209,45,TEX
ERCO,05/29/2025 12:00:00 PM,05/29/2025 5:00:00 PM,61414,59093,59137,45,44,,,,59093,59137,45,TEX
ERCO,05/29/2025 1:00:00 PM,05/29/2025 6:00:00 PM,64376,62140,62184,45,44,,,,62140,62184,45,TEX
ERCO,05/29/2025 2:00:00 PM,05/29/2025 7:00:00 PM,67263,65197,65242,45,44,,,,65197,65242,45,TEX
ERCO,05/29/2025 3:00:00 PM,05/29/2025 8:00:00 PM,69455,68101,68146,45,44,,,,68101,68146,45,TEX
ERCO,05/29/2025 4:00:00 PM,05/29/2025 9:00:00 PM,70656,70394,70443,49,48,,,,70394,70443,49,TEX
ERCO,05/29/2025 5:00:00 PM,05/29/2025 10:00:00 PM,71221,72072,72094,22,22,,,,72072,72094,22,TEX
ERCO,05/29/2025 6:00:00 PM,05/29/2025 11:00:00 PM,70756,72152,72199,48,47,,,,72152,72199,48,TEX
ERCO,05/29/2025 7:00:00 PM,05/30/2025 12:00:00 AM,69245,70745,70792,47,46,,,,70745,70792,47,TEX
ERCO,05/29/2025 8:00:00 PM,05/30/2025 1:00:00 AM,66981,68103,68147,44,44,,,,68103,68147,44,TEX
ERCO,05/29/2025 9:00:00 PM,05/30/2025 2:00:00 AM,64708,65700,65697,-2,-1,,,,65700,65697,-2,TEX
ERCO,05/29/2025 10:00:00 PM,05/30/2025 3:00:00 AM,62896,63473,63607,134,134,,,,63473,63607,134,TEX
ERCO,05/29/2025 11:00:00 PM,05/30/2025 4:00:00 AM,59576,60125,60266,142,142,,,,60125,60266,142,TEX
ERCO,05/30/2025 12:00:00 AM,05/30/2025 5:00:00 AM,55679,56315,56431,117,117,,,,56315,56431,117,TEX
ERCO,05/30/2025 1:00:00 AM,05/30/2025 6:00:00 AM,53476,52910,53006,97,97,,,,52910,53006,97,TEX
ERCO,05/30/2025 2:00:00 AM,05/30/2025 7:00:00 AM,50774,50507,50490,-15,-15,,,,50507,50490,-15,TEX
ERCO,05/30/2025 3:00:00 AM,05/30/2025 8:00:00 AM,48776,48542,48432,-109,-110,,,,48542,48432,-109,TEX
ERCO,05/30/2025 4:00:00 AM,05/30/2025 9:00:00 AM,47600,47326,47131,-195,-195,,,,47326,47131,-195,TEX
ERCO,05/30/2025 5:00:00 AM,05/30/2025 10:00:00 AM,47258,46869,46673,-197,-196,,,,46869,46673,-197,TEX
ERCO,05/30/2025 6:00:00 AM,05/30/2025 11:00:00 AM,48072,47323,47106,-217,-217,,,,47323,47106,-217,TEX
ERCO,05/30/2025 7:00:00 AM,05/30/2025 12:00:00 PM,49664,48540,48435,-104,-104,,,,48540,48435,-104,TEX
ERCO,05/30/2025 8:00:00 AM,05/30/2025 1:00:00 PM,51053,49680,49588,-91,-92,,,,49680,49588,-91,TEX
ERCO,05/30/2025 9:00:00 AM,05/30/2025 2:00:00 PM,53398,51150,51333,182,181,,,,51150,51333,182,TEX
ERCO,05/30/2025 10:00:00 AM,05/30/2025 3:00:00 PM,56126,52963,53183,220,220,,,,52963,53183,220,TEX
ERCO,05/30/2025 11:00:00 AM,05/30/2025 4:00:00 PM,58615,54183,54250,67,66,,,,54183,54250,67,TEX
ERCO,05/30/2025 12:00:00 PM,05/30/2025 5:00:00 PM,60785,55173,55194,21,20,,,,55173,55194,21,TEX
ERCO,05/30/2025 1:00:00 PM,05/30/2025 6:00:00 PM,62667,56456,56477,21,20,,,,56456,56477,21,TEX
ERCO,05/30/2025 2:00:00 PM,05/30/2025 7:00:00 PM,64410,58814,58870,56,56,,,,58814,58870,56,TEX
ERCO,05/30/2025 3:00:00 PM,05/30/2025 8:00:00 PM,65644,61361,61434,73,73,,,,61361,61434,73,TEX
ERCO,05/30/2025 4:00:00 PM,05/30/2025 9:00:00 PM,66189,63174,63058,-116,-116,,,,63174,63058,-116,TEX
ERCO,05/30/2025 5:00:00 PM,05/30/2025 10:00:00 PM,66220,64849,64774,-73,-74,,,,64849,64774,-73,TEX
ERCO,05/30/2025 6:00:00 PM,05/30/2025 11:00:00 PM,65786,65279,65158,-120,-120,,,,65279,65158,-120,TEX
ERCO,05/30/2025 7:00:00 PM,05/31/2025 12:00:00 AM,64666,63854,63657,-197,-197,,,,63854,63657,-197,TEX
ERCO,05/30/2025 8:00:00 PM,05/31/2025 1:00:00 AM,62790,61080,60881,-199,-200,,,,61080,60881,-199,TEX
ERCO,05/30/2025 9:00:00 PM,05/31/2025 2:00:00 AM,60635,58283,58084,-199,-199,,,,58283,58084,-199,TEX
ERCO,05/30/2025 10:00:00 PM,05/31/2025 3:00:00 AM,59422,55678,55541,-137,-138,,,,55678,55541,-137,TEX
ERCO,05/30/2025 11:00:00 PM,05/31/2025 4:00:00 AM,56983,54509,54360,-149,-149,,,,54509,54360,-149,TEX
ERCO,05/31/2025 12:00:00 AM,05/31/2025 5:00:00 AM,54267,52028,51852,-175,-175,,,,52028,51852,-175,TEX
ERCO,05/31/2025 1:00:00 AM,05/31/2025 6:00:00 AM,51969,49499,49314,-184,-184,,,,49499,49314,-184,TEX
ERCO,05/31/2025 2:00:00 AM,05/31/2025 7:00:00 AM,49534,47001,46835,-166,-165,,,,47001,46835,-166,TEX
ERCO,05/31/2025 3:00:00 AM,05/31/2025 8:00:00 AM,47570,45800,45633,-167,-167,,,,45800,45633,-167,TEX
ERCO,05/31/2025 4:00:00 AM,05/31/2025 9:00:00 AM,46053,44770,44576,-194,-193,,,,44770,44576,-194,TEX
ERCO,05/31/2025 5:00:00 AM,05/31/2025 10:00:00 AM,45083,44185,43991,-194,-194,,,,44185,43991,-194,TEX
ERCO,05/31/2025 6:00:00 AM,05/31/2025 11:00:00 AM,44740,44279,44080,-199,-198,,,,44279,44080,-199,TEX
ERCO,05/31/2025 7:00:00 AM,05/31/2025 12:00:00 PM,44634,44341,44147,-194,-194,,,,44341,44147,-194,TEX
ERCO,05/31/2025 8:00:00 AM,05/31/2025 1:00:00 PM,45592,45601,45451,-150,-150,,,,45601,45451,-150,TEX
ERCO,05/31/2025 9:00:00 AM,05/31/2025 2:00:00 PM,49046,48328,48396,68,68,,,,48328,48396,68,TEX
ERCO,05/31/2025 10:00:00 AM,05/31/2025 3:00:00 PM,52605,51613,51857,243,243,,,,51613,51857,243,TEX
ERCO,05/31/2025 11:00:00 AM,05/31/2025 4:00:00 PM,55516,54911,54961,50,49,,,,54911,54961,50,TEX
ERCO,05/31/2025 12:00:00 PM,05/31/2025 5:00:00 PM,58232,57992,58037,46,45,,,,57992,58037,46,TEX
ERCO,05/31/2025 1:00:00 PM,05/31/2025 6:00:00 PM,60521,60845,60922,77,77,,,,60845,60922,77,TEX
ERCO,05/31/2025 2:00:00 PM,05/31/2025 7:00:00 PM,62593,63360,63484,125,124,,,,63360,63484,125,TEX
ERCO,05/31/2025 3:00:00 PM,05/31/2025 8:00:00 PM,64571,65590,65745,154,154,,,,65590,65745,154,TEX
ERCO,05/31/2025 4:00:00 PM,05/31/2025 9:00:00 PM,66198,67420,67668,247,247,,,,67420,67668,247,TEX
ERCO,05/31/2025 5:00:00 PM,05/31/2025 10:00:00 PM,67275,68480,68728,247,247,,,,68480,68728,247,TEX
ERCO,05/31/2025 6:00:00 PM,05/31/2025 11:00:00 PM,67296,68693,68908,214,214,,,,68693,68908,214,TEX
ERCO,05/31/2025 7:00:00 PM,06/01/2025 12:00:00 AM,66155,67529,67570,42,42,,,,67529,67570,42,TEX
ERCO,05/31/2025 8:00:00 PM,06/01/2025 1:00:00 AM,63914,63819,63631,-188,-188,,,,63819,63631,-188,TEX
ERCO,05/31/2025 9:00:00 PM,06/01/2025 2:00:00 AM,61474,61570,61376,-194,-194,,,,61570,61376,-194,TEX
ERCO,05/31/2025 10:00:00 PM,06/01/2025 3:00:00 AM,59866,60480,60312,-168,-168,,,,60480,60312,-168,TEX
ERCO,05/31/2025 11:00:00 PM,06/01/2025 4:00:00 AM,57626,57988,57770,-218,-218,,,,57988,57770,-218,TEX
ERCO,06/01/2025 12:00:00 AM,06/01/2025 5:00:00 AM,54882,55039,54822,-217,-217,,,,55039,54822,-217,TEX
ERCO,06/01/2025 1:00:00 AM,06/01/2025 6:00:00 AM,52297,52059,51991,-67,-67,,,,52059,51991,-67,TEX
ERCO,06/01/2025 2:00:00 AM,06/01/2025 7:00:00 AM,50203,49472,49420,-52,-52,,,,49472,49420,-52,TEX
ERCO,06/01/2025 3:00:00 AM,06/01/2025 8:00:00 AM,48666,47408,47354,-52,-53,,,,47408,47354,-52,TEX
ERCO,06/01/2025 4:00:00 AM,06/01/2025 9:00:00 AM,47305,46043,45944,-98,-99,,,,46043,45944,-98,TEX
ERCO,06/01/2025 5:00:00 AM,06/01/2025 10:00:00 AM,46450,45309,45255,-53,-53,,,,45309,45255,-53,TEX
ERCO,06/01/2025 6:00:00 AM,06/01/2025 11:00:00 AM,45896,44929,44876,-52,-52,,,,44929,44876,-52,TEX
ERCO,06/01/2025 7:00:00 AM,06/01/2025 12:00:00 PM,45355,44542,44490,-52,-52,,,,44542,44490,-52,TEX
ERCO,06/01/2025 8:00:00 AM,06/01/2025 1:00:00 PM,46463,45300,45248,-51,-51,,,,45300,45248,-51,TEX
ERCO,06/01/2025 9:00:00 AM,06/01/2025 2:00:00 PM,50626,48340,48431,90,90,,,,48340,48431,90,TEX
ERCO,06/01/2025 10:00:00 AM,06/01/2025 3:00:00 PM,54621,52039,52262,222,222,,,,52039,52262,222,TEX
ERCO,06/01/2025 11:00:00 AM,06/01/2025 4:00:00 PM,57987,55566,55789,222,222,,,,55566,55789,222,TEX
ERCO,06/01/2025 12:00:00 PM,06/01/2025 5:00:00 PM,61118,59312,59534,222,222,,,,59312,59534,222,TEX
ERCO,06/01/2025 1:00:00 PM,06/01/2025 6:00:00 PM,63955,62636,62859,222,222,,,,62636,62859,222,TEX
ERCO,06/01/2025 2:00:00 PM,06/01/2025 7:00:00 PM,66880,65798,66021,222,222,,,,65798,66021,222,TEX
ERCO,06/01/2025 3:00:00 PM,06/01/2025 8:00:00 PM,69152,68529,68752,222,222,,,,68529,68752,222,TEX
ERCO,06/01/2025 4:00:00 PM,06/01/2025 9:00:00 PM,70803,70665,70888,222,222,,,,70665,70888,222,TEX
ERCO,06/01/2025 5:00:00 PM,06/01/2025 10:00:00 PM,71978,72334,72557,222,222,,,,72334,72557,222,TEX
ERCO,06/01/2025 6:00:00 PM,06/01/2025 11:00:00 PM,72237,72315,72536,221,220,,,,72315,72536,221,TEX
ERCO,06/01/2025 7:00:00 PM,06/02/2025 12:00:00 AM,71100,71638,71590,-48,-48,,,,71638,71590,-48,TEX
ERCO,06/01/2025 8:00:00 PM,06/02/2025 1:00:00 AM,68776,69662,69445,-217,-217,,,,69662,69445,-217,TEX
ERCO,06/01/2025 9:00:00 PM,06/02/2025 2:00:00 AM,66260,67068,66849,-219,-220,,,,67068,66849,-219,TEX
ERCO,06/01/2025 10:00:00 PM,06/02/2025 3:00:00 AM,64649,65275,65056,-219,-218,,,,65275,65056,-219,TEX
ERCO,06/01/2025 11:00:00 PM,06/02/2025 4:00:00 AM,61659,62062,61882,-179,-179,,,,62062,61882,-179,TEX
ERCO,06/02/2025 12:00:00 AM,06/02/2025 5:00:00 AM,58322,58044,57865,-179,-179,,,,58044,57865,-179,TEX
ERCO,06/02/2025 1:00:00 AM,06/02/2025 6:00:00 AM,53915,54477,54298,-179,-179,,,,54477,54298,-179,TEX
ERCO,06/02/2025 2:00:00 AM,06/02/2025 7:00:00 AM,51232,51864,51665,-199,-200,,,,51864,51665,-199,TEX
ERCO,06/02/2025 3:00:00 AM,06/02/2025 8:00:00 AM,49278,49827,49609,-218,-218,,,,49827,49609,-218,TEX
ERCO,06/02/2025 4:00:00 AM,06/02/2025 9:00:00 AM,48042,48739,48520,-219,-220,,,,48739,48520,-219,TEX
ERCO,06/02/2025 5:00:00 AM,06/02/2025 10:00:00 AM,47546,48642,48423,-219,-220,,,,48642,48423,-219,TEX
ERCO,06/02/2025 6:00:00 AM,06/02/2025 11:00:00 AM,48080,49625,49473,-152,-152,,,,49625,49473,-152,TEX
ERCO,06/02/2025 7:00:00 AM,06/02/2025 12:00:00 PM,49226,50826,50802,-24,-25,,,,50826,50802,-24,TEX
ERCO,06/02/2025 8:00:00 AM,06/02/2025 1:00:00 PM,50654,52347,52206,-141,-141,,,,52347,52206,-141,TEX
ERCO,06/02/2025 9:00:00 AM,06/02/2025 2:00:00 PM,54236,55244,55342,98,98,,,,55244,55342,98,TEX
ERCO,06/02/2025 10:00:00 AM,06/02/2025 3:00:00 PM,58352,58794,58923,130,129,,,,58794,58923,130,TEX
ERCO,06/02/2025 11:00:00 AM,06/02/2025 4:00:00 PM,62284,62838,62923,85,84,,,,62838,62923,85,TEX
ERCO,06/02/2025 12:00:00 PM,06/02/2025 5:00:00 PM,66159,66994,67034,41,40,,,,66994,67034,41,TEX
ERCO,06/02/2025 1:00:00 PM,06/02/2025 6:00:00 PM,69541,70654,70696,42,41,,,,70654,70696,42,TEX
ERCO,06/02/2025 2:00:00 PM,06/02/2025 7:00:00 PM,72650,73359,73525,166,166,,,,73359,73525,166,TEX
ERCO,06/02/2025 3:00:00 PM,06/02/2025 8:00:00 PM,74933,75157,75387,229,229,,,,75157,75387,229,TEX
ERCO,06/02/2025 4:00:00 PM,06/02/2025 9:00:00 PM,75991,76062,76301,238,238,,,,76062,76301,238,TEX
ERCO,06/02/2025 5:00:00 PM,06/02/2025 10:00:00 PM,76216,76162,76188,26,25,,,,76162,76188,26,TEX
ERCO,06/02/2025 6:00:00 PM,06/02/2025 11:00:00 PM,75413,75694,75754,61,60,,,,75694,75754,61,TEX
ERCO,06/02/2025 7:00:00 PM,06/03/2025 12:00:00 AM,73455,74715,74754,39,39,,,,74715,74754,39,TEX
ERCO,06/02/2025 8:00:00 PM,06/03/2025 1:00:00 AM,70566,72740,72586,-153,-153,,,,72740,72586,-153,TEX
ERCO,06/02/2025 9:00:00 PM,06/03/2025 2:00:00 AM,67696,70732,70682,-50,-49,,,,70732,70682,-50,TEX
ERCO,06/02/2025 10:00:00 PM,06/03/2025 3:00:00 AM,65477,68749,68640,-109,-109,,,,68749,68640,-109,TEX
ERCO,06/02/2025 11:00:00 PM,06/03/2025 4:00:00 AM,62034,64999,64882,-117,-117,,,,64999,64882,-117,TEX
ERCO,06/03/2025 12:00:00 AM,06/03/2025 5:00:00 AM,58272,60881,60765,-115,-116,,,,60881,60765,-115,TEX
ERCO,06/03/2025 1:00:00 AM,06/03/2025 6:00:00 AM,58672,57395,57350,-44,-45,,,,57395,57350,-44,TEX
ERCO,06/03/2025 2:00:00 AM,06/03/2025 7:00:00 AM,56161,54684,54537,-147,-146,,,,54684,54537,-147,TEX
ERCO,06/03/2025 3:00:00 AM,06/03/2025 8:00:00 AM,54279,52824,52685,-139,-139,,,,52824,52685,-139,TEX
ERCO,06/03/2025 4:00:00 AM,06/03/2025 9:00:00 AM,53271,51503,51364,-139,-139,,,,51503,51364,-139,TEX
ERCO,06/03/2025 5:00:00 AM,06/03/2025 10:00:00 AM,52728,51238,51099,-139,-139,,,,51238,51099,-139,TEX
ERCO,06/03/2025 6:00:00 AM,06/03/2025 11:00:00 AM,53425,52044,51905,-139,-139,,,,52044,51905,-139,TEX
ERCO,06/03/2025 7:00:00 AM,06/03/2025 12:00:00 PM,54544,53160,53021,-139,-139,,,,53160,53021,-139,TEX
ERCO,06/03/2025 8:00:00 AM,06/03/2025 1:00:00 PM,55761,54439,54260,-179,-180,,,,54439,54260,-179,TEX
ERCO,06/03/2025 9:00:00 AM,06/03/2025 2:00:00 PM,58700,56962,56905,-56,-56,,,,56962,56905,-56,TEX
ERCO,06/03/2025 10:00:00 AM,06/03/2025 3:00:00 PM,62094,59652,59570,-81,-82,,,,59652,59570,-81,TEX
ERCO,06/03/2025 11:00:00 AM,06/03/2025 4:00:00 PM,64692,61977,61923,-53,-53,,,,61977,61923,-53,TEX
ERCO,06/03/2025 12:00:00 PM,06/03/2025 5:00:00 PM,67543,64419,64343,-76,-76,,,,64419,64343,-76,TEX
ERCO,06/03/2025 1:00:00 PM,06/03/2025 6:00:00 PM,70140,67663,67544,-119,-119,,,,67663,67544,-119,TEX
ERCO,06/03/2025 2:00:00 PM,06/03/2025 7:00:00 PM,72729,70187,70084,-102,-102,,,,70187,70084,-102,TEX
