"Balancing Authority","Directly Interconnected Balancing Authority","Interchange (MW)","UTC Time at End of Hour","DIBA_Region"
AECI,SWPP,108,05/21/2025 1:00:00 PM,CENT
AECI,TVA,174,05/21/2025 1:00:00 PM,TEN
AECI,MISO,832,05/21/2025 2:00:00 PM,MIDW
AECI,SPA,-205,05/21/2025 2:00:00 PM,CENT
AECI,SWPP,326,05/21/2025 2:00:00 PM,CENT
AECI,TVA,196,05/21/2025 2:00:00 PM,TEN
AECI,MISO,641,05/21/2025 3:00:00 PM,MIDW
AECI,SPA,-174,05/21/2025 3:00:00 PM,CENT
AECI,SWPP,258,05/21/2025 3:00:00 PM,CENT
AECI,TVA,199,05/21/2025 3:00:00 PM,TEN
AECI,MISO,541,05/21/2025 4:00:00 PM,MIDW
AECI,SPA,-164,05/21/2025 4:00:00 PM,CENT
AECI,SWPP,289,05/21/2025 4:00:00 PM,CENT
AECI,TVA,193,05/21/2025 4:00:00 PM,TEN
AECI,MISO,541,05/21/2025 5:00:00 PM,MIDW
AECI,SPA,-50,05/21/2025 5:00:00 PM,CENT
AECI,SWPP,260,05/21/2025 5:00:00 PM,CENT
AECI,TVA,211,05/21/2025 5:00:00 PM,TEN
AECI,MISO,451,05/21/2025 6:00:00 PM,MIDW
AECI,SPA,65,05/21/2025 6:00:00 PM,CENT
AECI,SWPP,173,05/21/2025 6:00:00 PM,CENT
AECI,TVA,218,05/21/2025 6:00:00 PM,TEN
AECI,MISO,407,05/21/2025 7:00:00 PM,MIDW
AECI,SPA,114,05/21/2025 7:00:00 PM,CENT
AECI,SWPP,48,05/21/2025 7:00:00 PM,CENT
AECI,TVA,214,05/21/2025 7:00:00 PM,TEN
AECI,MISO,225,05/21/2025 8:00:00 PM,MIDW
AECI,SPA,97,05/21/2025 8:00:00 PM,CENT
AECI,SWPP,-52,05/21/2025 8:00:00 PM,CENT
AECI,TVA,209,05/21/2025 8:00:00 PM,TEN
AECI,MISO,173,05/21/2025 9:00:00 PM,MIDW
AECI,SPA,22,05/21/2025 9:00:00 PM,CENT
AECI,SWPP,83,05/21/2025 9:00:00 PM,CENT
AECI,TVA,220,05/21/2025 9:00:00 PM,TEN
AECI,MISO,243,05/21/2025 10:00:00 PM,MIDW
AECI,SPA,-29,05/21/2025 10:00:00 PM,CENT
AECI,SWPP,107,05/21/2025 10:00:00 PM,CENT
AECI,TVA,235,05/21/2025 10:00:00 PM,TEN
AECI,MISO,204,05/21/2025 11:00:00 PM,MIDW
AECI,SPA,-7,05/21/2025 11:00:00 PM,CENT
AECI,SWPP,38,05/21/2025 11:00:00 PM,CENT
AECI,TVA,229,05/21/2025 11:00:00 PM,TEN
AECI,MISO,308,05/22/2025 12:00:00 AM,MIDW
AECI,SPA,-72,05/22/2025 12:00:00 AM,CENT
AECI,SWPP,-7,05/22/2025 12:00:00 AM,CENT
AECI,TVA,227,05/22/2025 12:00:00 AM,TEN
AECI,MISO,463,05/22/2025 1:00:00 AM,MIDW
AECI,SPA,-134,05/22/2025 1:00:00 AM,CENT
AECI,SWPP,-74,05/22/2025 1:00:00 AM,CENT
AECI,TVA,226,05/22/2025 1:00:00 AM,TEN
AECI,MISO,520,05/22/2025 2:00:00 AM,MIDW
AECI,SPA,-107,05/22/2025 2:00:00 AM,CENT
AECI,SWPP,-95,05/22/2025 2:00:00 AM,CENT
AECI,TVA,217,05/22/2025 2:00:00 AM,TEN
AECI,MISO,711,05/22/2025 3:00:00 AM,MIDW
AECI,SPA,-31,05/22/2025 3:00:00 AM,CENT
AECI,SWPP,-211,05/22/2025 3:00:00 AM,CENT
AECI,TVA,211,05/22/2025 3:00:00 AM,TEN
AECI,MISO,828,05/22/2025 4:00:00 AM,MIDW
AECI,SPA,48,05/22/2025 4:00:00 AM,CENT
AECI,SWPP,-287,05/22/2025 4:00:00 AM,CENT
AECI,TVA,210,05/22/2025 4:00:00 AM,TEN
AECI,MISO,712,05/22/2025 5:00:00 AM,MIDW
AECI,SPA,52,05/22/2025 5:00:00 AM,CENT
AECI,SWPP,-244,05/22/2025 5:00:00 AM,CENT
AECI,TVA,184,05/22/2025 5:00:00 AM,TEN
AECI,MISO,591,05/22/2025 6:00:00 AM,MIDW
AECI,SPA,113,05/22/2025 6:00:00 AM,CENT
AECI,SWPP,-206,05/22/2025 6:00:00 AM,CENT
AECI,TVA,162,05/22/2025 6:00:00 AM,TEN
AECI,MISO,472,05/22/2025 7:00:00 AM,MIDW
AECI,SPA,157,05/22/2025 7:00:00 AM,CENT
AECI,SWPP,-229,05/22/2025 7:00:00 AM,CENT
AECI,TVA,136,05/22/2025 7:00:00 AM,TEN
AECI,MISO,506,05/22/2025 8:00:00 AM,MIDW
AECI,SPA,148,05/22/2025 8:00:00 AM,CENT
AECI,SWPP,-349,05/22/2025 8:00:00 AM,CENT
AECI,TVA,129,05/22/2025 8:00:00 AM,TEN
AECI,MISO,507,05/22/2025 9:00:00 AM,MIDW
AECI,SPA,132,05/22/2025 9:00:00 AM,CENT
AECI,SWPP,-326,05/22/2025 9:00:00 AM,CENT
AECI,TVA,133,05/22/2025 9:00:00 AM,TEN
AECI,MISO,462,05/22/2025 10:00:00 AM,MIDW
AECI,SPA,96,05/22/2025 10:00:00 AM,CENT
AECI,SWPP,-174,05/22/2025 10:00:00 AM,CENT
AECI,TVA,138,05/22/2025 10:00:00 AM,TEN
AECI,MISO,614,05/22/2025 11:00:00 AM,MIDW
AECI,SPA,46,05/22/2025 11:00:00 AM,CENT
AECI,SWPP,-85,05/22/2025 11:00:00 AM,CENT
AECI,TVA,165,05/22/2025 11:00:00 AM,TEN
AECI,MISO,585,05/22/2025 12:00:00 PM,MIDW
AECI,SPA,11,05/22/2025 12:00:00 PM,CENT
AECI,SWPP,-121,05/22/2025 12:00:00 PM,CENT
AECI,TVA,169,05/22/2025 12:00:00 PM,TEN
AECI,MISO,582,05/22/2025 1:00:00 PM,MIDW
AECI,SPA,-35,05/22/2025 1:00:00 PM,CENT
AECI,SWPP,-98,05/22/2025 1:00:00 PM,CENT
AECI,TVA,159,05/22/2025 1:00:00 PM,TEN
AECI,MISO,423,05/22/2025 2:00:00 PM,MIDW
AECI,SPA,-25,05/22/2025 2:00:00 PM,CENT
AECI,SWPP,37,05/22/2025 2:00:00 PM,CENT
AECI,TVA,169,05/22/2025 2:00:00 PM,TEN
AECI,MISO,436,05/22/2025 3:00:00 PM,MIDW
AECI,SPA,34,05/22/2025 3:00:00 PM,CENT
AECI,SWPP,53,05/22/2025 3:00:00 PM,CENT
AECI,TVA,180,05/22/2025 3:00:00 PM,TEN
AECI,MISO,547,05/22/2025 4:00:00 PM,MIDW
AECI,SPA,41,05/22/2025 4:00:00 PM,CENT
AECI,SWPP,-54,05/22/2025 4:00:00 PM,CENT
AECI,TVA,184,05/22/2025 4:00:00 PM,TEN
AECI,MISO,544,05/22/2025 5:00:00 PM,MIDW
AECI,SPA,26,05/22/2025 5:00:00 PM,CENT
AECI,SWPP,33,05/22/2025 5:00:00 PM,CENT
AECI,TVA,184,05/22/2025 5:00:00 PM,TEN
AECI,MISO,498,05/22/2025 6:00:00 PM,MIDW
AECI,SPA,31,05/22/2025 6:00:00 PM,CENT
AECI,SWPP,129,05/22/2025 6:00:00 PM,CENT
AECI,TVA,192,05/22/2025 6:00:00 PM,TEN
