pl_name,hostname,pl_letter,sy_pnum,soltype,default_flag,pl_refname,pl_pubdate,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,disc_year,discoverymethod,sy_dist
"Kepler-1636 b","Kepler-1636","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,4.06500000,0.39600000,-0.34700000,0,,,,,,2016,"Transit",1947.54000000
"Kepler-1637 b","Kepler-1637","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",6.10960324000,0.89000000,0.18000000,-0.09000000,0,,,,,,2016,"Transit",567.18700000
"Kepler-1637 b","Kepler-1637","b",1,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",6.10972093340,,,,,,,,,,2016,"Transit",567.18700000
"Kepler-1638 b","Kepler-1638","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",259.33683000000,1.87000000,0.33000000,-0.22000000,0,,,,,,2016,"Transit",1525.52000000
"Kepler-1638 b","Kepler-1638","b",1,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",259.34205798000,,,,,,,,,,2016,"Transit",1525.52000000
"Kepler-1638 b","Kepler-1638","b",1,"Published Confirmed",0,"<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>","2017-12",259.36500000000,1.60000000,0.32000000,-0.19000000,0,,,,,,2016,"Transit",1525.52000000
"Kepler-1638 b","Kepler-1638","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,3.22600000,0.20100000,-0.31500000,0,,,,,,2016,"Transit",1525.52000000
"Kepler-1638 b","Kepler-1638","b",1,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",259.30283452900,,,,,,,,,,2016,"Transit",1525.52000000
"Kepler-1639 b","Kepler-1639","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",9.87848200000,2.58000000,0.79000000,-0.34000000,0,,,,,,2016,"Transit",1031.31000000
"Kepler-1639 b","Kepler-1639","b",1,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",9.87892482000,,,,,,,,,,2016,"Transit",1031.31000000
"Kepler-1639 b","Kepler-1639","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.33300000,0.76600000,-0.23700000,0,,,,,,2016,"Transit",1031.31000000
"Kepler-1639 b","Kepler-1639","b",1,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",9.87895944470,,,,,,,,,,2016,"Transit",1031.31000000
"Kepler-164 b","Kepler-164","b",4,"Published Confirmed",1,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","2014-03",5.03503000000,1.41000000,0.28000000,-0.28000000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 b","Kepler-164","b",4,"Published Confirmed",0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",5.03506543000,1.48000000,0.17000000,-0.12000000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 b","Kepler-164","b",4,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,1.54500000,0.07300000,-0.28500000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 b","Kepler-164","b",4,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",5.03504052010,,,,,,,,,,2014,"Transit",890.75800000
"Kepler-164 c","Kepler-164","c",4,"Published Confirmed",1,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","2014-03",10.94572300000,2.73000000,0.52000000,-0.52000000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 c","Kepler-164","c",4,"Published Confirmed",0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",10.94577222000,2.72000000,0.32000000,-0.21000000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 c","Kepler-164","c",4,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",10.94575474000,,,,,,,,,,2014,"Transit",890.75800000
"Kepler-164 c","Kepler-164","c",4,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.69000000,0.12400000,-0.28500000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 c","Kepler-164","c",4,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",10.94577401370,,,,,,,,,,2014,"Transit",890.75800000
"Kepler-164 d","Kepler-164","d",4,"Published Confirmed",1,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","2014-03",28.98676900000,2.45000000,0.47000000,-0.47000000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 d","Kepler-164","d",4,"Published Confirmed",0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",28.98683260000,2.47000000,0.30000000,-0.19000000,0,,,,,,2014,"Transit",890.75800000
"Kepler-164 d","Kepler-164","d",4,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",28.98679128000,,,,,,,,,,2014,"Transit",890.75800000
"Kepler-164 d","Kepler-164","d",4,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.56400000,0.18900000,-0.33400000,0,,,,,,2014,"Transit",890.75800000
